Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By
134631485,Payment by Card,payment,1,"Nov 15, 2016","Dec 2, 2017",feature,2,unstarted,"Nov 15, 2016",,,lzx,"As a customer, I can make payment with card by entering card type, card number, card security code and expiry date, so that the system will verify the card and able to make payment.",https://www.pivotaltracker.com/story/show/134631485,,,lzx
134631535,Update Customer Record,customer,1,"Nov 15, 2016","Dec 2, 2017",feature,1,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a customer, I am allowed to update full name so that full name is corrected.
2. As a customer, I am allowed to update contact number so that contact number is corrected.
3. As a customer, I am allowed to update email address so that email address is corrected.
",https://www.pivotaltracker.com/story/show/134631535,,,Liew Ken Hieng
134631567,View Customer Record,customer,1,"Nov 15, 2016","Dec 2, 2017",feature,2,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a customer, I am allowed to view username so that I can verify the username is correct.
2. As a customer, I am allowed to view full name so that I can verify the username is correct.
4. As a customer, I am allowed to view contact number so that I can verify the contact number is correct.
5. As a customer, I am allowed to view email address  so that I can verify the email address is correct.
6. As a customer, I am allowed to view date of birth so that I can verify the date of birth is correct.",https://www.pivotaltracker.com/story/show/134631567,,,Liew Ken Hieng
134631527,Add Customer Record,customer,1,"Nov 15, 2016","Dec 2, 2017",feature,3,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a customer, I am required to add username so that I can login
2. As a customer, I am required to add password so that I can login
3. As a customer, I am required to add full name so that I am recognize by driver and make reservation
4. As a customer, I am required to add contact number so that I can be contacted by driver and staff
5. As a customer, I am required to add email address so that i can receive the latest news and promotion
6. As a customer, I am required to add date of birth so that staff can send me birthday wishes and birthday promotion or voucher.",https://www.pivotaltracker.com/story/show/134631527,,,Liew Ken Hieng
134631601,View Reservation Record,reservation,1,"Nov 15, 2016","Dec 2, 2017",feature,2,unstarted,"Nov 15, 2016",,,Lee Yi Hao,"As a customer, i can view my reservation record,so that i can verify my reservation information
As a customer, i can save my favorite location from reservation record.",https://www.pivotaltracker.com/story/show/134631601,,,Lee Yi Hao
134631605,Update Reservation Record,reservation,1,"Nov 15, 2016","Dec 2, 2017",feature,2,unstarted,"Nov 15, 2016",,,Lee Yi Hao,"As a customer,I am able to update the pick up location and destination so that I do not need to make cancellation.
",https://www.pivotaltracker.com/story/show/134631605,,,Lee Yi Hao
136507235,Reservation Cancellation,reservation,1,"Nov 15, 2016","Dec 2, 2017",feature,2,unstarted,"Nov 15, 2016",,,Lee Yi Hao,"As a customer,i can cancel my reservation so that i will not waste my money.",https://www.pivotaltracker.com/story/show/136507235,,,Lee Yi Hao
134631597,Add Reservation Record,reservation,1,"Nov 15, 2016","Dec 2, 2017",feature,3,unstarted,"Nov 15, 2016",,,Lee Yi Hao,"As a customer,i can select pick up location and destination, so that i can make online reservation
As a customer,i can select pick up date and time, so that i can make online reservation",https://www.pivotaltracker.com/story/show/134631597,,,Lee Yi Hao
134631663,Update Driver Record,driver,1,"Nov 15, 2016","Dec 2, 2017",feature,1,unstarted,"Nov 15, 2016",,,Weng Keong Tham,"As a driver, i am allowed to update driver username, password, full name, ic number(unique), contact number(unique), email address(unique), home address, taxi company name, taxi plate number(unique), date of birth, license expiry date so that record is corrected.",https://www.pivotaltracker.com/story/show/134631663,,,Weng Keong Tham
134631661,View Driver Record,driver,1,"Nov 15, 2016","Dec 2, 2017",feature,2,unstarted,"Nov 15, 2016",,,Weng Keong Tham,"As a driver, i am allowed to view driver username, password, full name, ic number(unique), contact number(unique), email address(unique), home address, taxi company name, taxi plate number(unique), date of birth, license expiry so that can verify all detail is correct.",https://www.pivotaltracker.com/story/show/134631661,,,Weng Keong Tham
134631659,Add Driver Record,driver,1,"Dec 5, 2016","Dec 23, 2016",feature,3,unstarted,"Nov 15, 2016",,,Weng Keong Tham,"As a driver,I am required to add driver username, password, full name, ic number(unique), contact number(unique), email address(unique), home address, taxi company name, taxi plate number(unique), date of birth, license expiry date into database so that the database will register my detail as new driver.",https://www.pivotaltracker.com/story/show/134631659,,,Weng Keong Tham
134991535,Customer Monthly Summary Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,Allow staff to generate or view customer monthly summary report by selecting the desire month.,https://www.pivotaltracker.com/story/show/134991535,,,Liew Ken Hieng
134991547,Customer Yearly Summary Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,Allow manager to generate or view customer yearly summary report by selecting the desire year.,https://www.pivotaltracker.com/story/show/134991547,,,Liew Ken Hieng
134992013,Reservation Exception Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Lee Yi Hao,Allow manager to generate or view reservation exception report by selecting the desire year and month.,https://www.pivotaltracker.com/story/show/134992013,,,Lee Yi Hao
134991995,Reservation Monthly Summary Report,report,1,"Dec 5, 2016","Dec 23, 2016",feature,1,unstarted,"Nov 15, 2016",,,Lee Yi Hao,Allow manager to generate or view reservation monthly summary report by selecting the desire month.,https://www.pivotaltracker.com/story/show/134991995,,,Lee Yi Hao
134631509,Cancel Payment Record,payment,1,"Dec 5, 2016","Dec 23, 2016",feature,2,unstarted,"Nov 15, 2016",,,lzx,"As a customer, I can delete the payment details according to the payment date so that the oldest payment records can be deleted.",https://www.pivotaltracker.com/story/show/134631509,,,lzx
134991421,Driver Login,login,1,"Dec 5, 2016","Dec 23, 2016",feature,3,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a driver, I am required to enter username to login.
2. As a driver, I am required to enter password to login.",https://www.pivotaltracker.com/story/show/134991421,,,Liew Ken Hieng
134991505,Customer Password Recovery,login,1,"Dec 5, 2016","Dec 23, 2016",feature,2,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a customer, I am required to enter username and email address so that the system will send the new password through email.
2. As a customer, I am allowed to change password by entering new password so that I can login using new password.",https://www.pivotaltracker.com/story/show/134991505,,,Liew Ken Hieng
134991513,Driver Password Recovery,login,1,"Dec 5, 2016","Dec 23, 2016",feature,2,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a driver, I am required to enter username and email address so that the system will send the new password through email.
2. As a driver, I am allowed to change password by entering new password so that I can login using new password.",https://www.pivotaltracker.com/story/show/134991513,,,Liew Ken Hieng
134991413,Customer Login,login,1,"Dec 5, 2016","Dec 23, 2016",feature,3,unstarted,"Nov 15, 2016",,,Liew Ken Hieng,"1. As a customer, I am required to enter username so that I can login.
2. As a customer, I am required to enter password so that I can login.",https://www.pivotaltracker.com/story/show/134991413,,,Liew Ken Hieng
